,Company,PriceRs.,Day HighRs.
0,"
Indian Ren. Energy
",85.00,85.00
1,"
GMR Airports Infra.
",73.10,74.40
2,"
ICICI Bank
",1017.10,1020.00
3,"
Dixon Technologies
",6372.65,6400.00
4,"
Hindustan Aeron
",2791.75,2813.00
5,"
Reliance Power
",24.50,25.20
6,"
Ultratech Cement
",9670.90,9730.00
7,"
Polycab India
",5691.95,5710.35
8,"
RBL Bank
",276.70,280.60
9,"
PNB
",88.45,89.35
10,"
Jindal Steel & Power
",719.25,728.00
11,"
Wockhardt
",383.50,399.00
12,"
Power Finance Corp
",389.55,393.00
13,"
HCL Tech.
",1375.30,1383.00
14,"
Bank Of India
",118.45,120.00
